"tpIdent","code","name","group"
"R-001-01",901,"Aspen","Aspen–Birch group"
"R-001-03",121,"Balsam fir","Spruce–Fir group"
"R-001-04",901,"Aspen","Aspen–Birch group"
"R-001-05",102,"Red pine","White–Red–Jack Pine group"
"R-001-06",101,"Jack pine","White–Red–Jack Pine group"
"R-001-08",121,"Balsam fir","Spruce–Fir group"
"R-001-09",902,"Paper birch","Aspen–Birch group"
"R-001-11",902,"Paper birch","Aspen–Birch group"
"R-001-12",125,"Black spruce","Spruce–Fir group"
"RE-C3-01",902,"Paper birch","Aspen–Birch group"
"RE-C3-02",101,"Jack pine","White–Red–Jack Pine group"
"RE-H1-01",901,"Aspen","Aspen–Birch group"
"RE-H2-01",902,"Paper birch","Aspen–Birch group"
"RE218-06",901,"Aspen","Aspen–Birch group"
"RE235-11",102,"Red pine","White–Red–Jack Pine group"
"RE238-19",121,"Balsam fir","Spruce–Fir group"
"RE262-18",127,"Northern white-cedar","Spruce–Fir group"
"RE279-01",125,"Black spruce","Spruce–Fir group"
"RE283-02",102,"Red pine","White–Red–Jack Pine group"
"RE300-01",102,"Red pine","White–Red–Jack Pine group"
"RE301-01",122,"White spruce","Spruce–Fir group"
"RE301-02",101,"Jack pine","White–Red–Jack Pine group"
"RE302-02",409,"Other pine / hardwood","Oak–Pine group"
"RE303-01",901,"Aspen","Aspen–Birch group"
"RE303-02",126,"Tamarack (larch)","Spruce–Fir group"
"RE304-01",127,"Northern white-cedar","Spruce–Fir group"
"RE304-02",125,"Black spruce","Spruce–Fir group"
"RE304-03",122,"White spruce","Spruce–Fir group"
"RE305-01",103,"Eastern white pine","White–Red–Jack Pine group"
"RE305-02",103,"Eastern white pine","White–Red–Jack Pine group"
"RE305-03",101,"Jack pine","White–Red–Jack Pine group"
"RE305-04",101,"Jack pine","White–Red–Jack Pine group"
"RE306-01",809,"Red maple / upland","Maple–Beech–Birch group"
"RE306-02",902,"Paper birch","Aspen–Birch group"
"RE306-03",901,"Aspen","Aspen–Birch group"
