"TP_IDENT","ref_burn","FOR_TYPE_SF","TIMBER","SeverityIndex","crnSev","crnSev_sub","Easting","Northing"
"R-001-01","burn","Mixed","Mixed","3.2","3","2",623643,5292373
"R-001-03","burn","Aspen","Mixed","3.2","3","2",624062,5292512
"R-001-04","burn","Aspen","Mixed","1.3","1","3",624148,5292484
"R-001-05","burn","Red_Pine_Plant","Coniferous","4","4",NA,627117,5295702
"R-001-06","burn","Red_Pine_Plant","Coniferous","4","4",NA,626677,5295546
"R-001-08","burn","Spruce","Coniferous","4","4",NA,626416,5294978
"R-001-09","burn","Spruce_Mixed","Mixed","4","4",NA,626296,5295094
"R-001-11","burn","Birch_Mixed","Mixed","4","4",NA,625681,5294399
"R-001-12","burn","Spruce_Lowland","Coniferous","1.3","1","3",625706,5294119
"RE-C3-01","reference",NA,"Mixed",NA,NA,NA,NA,NA
"RE-C3-02","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE-H1-01","reference",NA,"Mixed",NA,NA,NA,NA,NA
"RE-H2-01","reference",NA,"Mixed",NA,NA,NA,NA,NA
"RE218-06","reference",NA,"Deciduous",NA,NA,NA,NA,NA
"RE235-11","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE238-19","reference",NA,"Mixed",NA,NA,NA,NA,NA
"RE262-18","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE279-01","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE283-02","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE300-01","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE301-01","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE301-02","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE302-02","reference",NA,"Mixed",NA,NA,NA,NA,NA
"RE303-01","reference",NA,"Deciduous",NA,NA,NA,NA,NA
"RE303-02","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE304-01","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE304-02","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE304-03","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE305-01","reference",NA,"Mixed",NA,NA,NA,NA,NA
"RE305-02","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE305-03","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE305-04","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE306-01","reference",NA,"Deciduous",NA,NA,NA,NA,NA
"RE306-02","reference",NA,"Deciduous",NA,NA,NA,NA,NA
"RE306-03","reference",NA,"Mixed",NA,NA,NA,NA,NA
"RE306-04","reference",NA,"Coniferous",NA,NA,NA,NA,NA
"RE307-01","reference",NA,"Mixed",NA,NA,NA,NA,NA
"RE307-02","reference",NA,"Mixed",NA,NA,NA,NA,NA
"T-000-01","burn",NA,"Mixed","4","4",NA,NA,NA
"T-000-02","burn","Spruce_Mixed","Mixed","4","4",NA,625961,5307491
"T-000-03","burn","Spruce","Coniferous","4","4",NA,625949,5307424
"T-000-04","burn","Birch_Mixed","Mixed","3.1","3","1",625872,5307236
"T-000-05","burn","Aspen","Deciduous","2","2",NA,625847,5307186
"T-000-06","burn","Aspen","Deciduous","3.1","3","1",625852,5307103
"T-000-07","burn","Aspen","Deciduous","4","4",NA,625841,5307060
"T-000-08","burn","Birch_Mixed","Deciduous","2","2",NA,625798,5307014
"T-000-09","burn","Birch_Mixed","Mixed","3.2","3","2",625783,5306934
"T-001-01","burn","Jack_Pine","Coniferous","4","4",NA,624465,5307328
"T-001-03","burn","Jack_Pine","Coniferous","4","4",NA,624503,5307148
"T-001-04","burn","Jack_Pine","Coniferous","3.2","3","2",624517,5307051
"T-001-05","burn","Jack_Pine","Coniferous","4","4",NA,NA,NA
"T-001-06","burn","Jack_Pine","Mixed","4","4",NA,624554,5306875
"T-001-07","burn","Jack_Pine_Mixed","Mixed","4","4",NA,NA,NA
