forestType_group,crownBurnSeverity,mean_biomassLoss (mg/ha)
Aspen-Birch,1,11.861847969525362
Aspen-Birch,2,23.71631528077014
Aspen-Birch,3,15.738006175114618
Aspen-Birch,4,26.146126493570893
Maple-Beech-Birch,1,-33.15367524334964
Oak-Pine,1,132.53763247302265
Oak-Pine,3,142.28159916227884
Oak-Pine,4,145.31766215966786
Spruce-Fir,1,46.4118893557378
Spruce-Fir,3,26.203319666737528
Spruce-Fir,4,33.344873121033565
White-Red-Jack Pine,1,12.675653142928287
White-Red-Jack Pine,2,24.8888789300816
White-Red-Jack Pine,3,-3.0604970732901697
White-Red-Jack Pine,4,20.56135598352457
